object_id,global_id,faa_identifier,name,latitude,longitude,airport_geom,elevation,icao_id,airport_type,service_city,state_abbreviation,country,oper_status,airport_use,iap_exists,dod_hiflip,far_91,far_93,mil_code,airspace_analysis,us_high,us_low,ak_high,ak_low,us_area,pacific
13018,153B4B34-EBE0-43AB-B34D-AF79A22A57FC,3G9,Butler Farm Show,40.85257249,-79.97478306,POINT(-79.97478306 40.85257249),1333,,Aerodome,Butler,PA,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13174,C888977E-B525-4199-B935-5C546992BB93,22D,Bandel,40.13064679,-80.09614221,POINT(-80.09614221 40.13064679),1210,,Aerodome,Eighty Four,PA,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13481,3059D528-2E69-4C6C-9718-8FFE22FE5D36,4G0,Pittsburgh-Monroeville,40.45264687,-79.77491992,POINT(-79.77491992 40.45264687),1187,,Aerodome,Monroeville,PA,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13131,BCC95514-9B2A-4C78-A8A5-CCD0722E626F,N16,Centre Arpk,40.81173925,-77.65722206,POINT(-77.65722206 40.81173925),1307,,Aerodome,Centre Hall,PA,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13391,3928F6BA-0DD5-424E-B9B6-5D5C08D077B3,P45,Mount Pleasant/Scottdale,40.10764134,-79.54311554,POINT(-79.54311554 40.10764134),1160,,Aerodome,Mount Pleasant,PA,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13330,DC890A59-46AE-4BBC-8DAD-27892F6E0DA9,5G8,Greensburg Jeannette Rgnl,40.37634131,-79.60878097,POINT(-79.60878097 40.37634131),1188,,Aerodome,Jeannette,PA,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13276,C72BB9F1-8254-4A48-B9BF-C85D5816FB84,9N1,Vansant,40.48427789,-75.09961789,POINT(-75.09961789 40.48427789),390,,Aerodome,Erwinna,PA,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13626,5AD38FF8-AE66-4906-8440-9B6EDC1BC566,2N5,Kampel,40.04951774,-76.97715235,POINT(-76.97715235 40.04951774),611,,Aerodome,Wellsville,PA,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13026,F79A50C4-1535-4D4C-8074-72A91AEB5E62,N74,Penns Cave,40.89035038,-77.60249871,POINT(-77.60249871 40.89035038),1260,,Aerodome,Centre Hall,PA,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12995,0D12B81C-7C1C-40F8-840B-19892EE8DB56,7N8,Butter Valley Golf Port,40.39744703,-75.56319081,POINT(-75.56319081 40.39744703),500,,Aerodome,Bally,PA,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
